Replicas of the White House subClassOf architectural structure, Replicas of the White House subClassOf abstract object, architectural structure disjointWith abstract object
ribbon subClassOf rosette, ribbon subClassOf abstract object, rosette disjointWith abstract object
Monopoly money subClassOf counterfeit banknote, Monopoly money subClassOf abstract object, counterfeit banknote disjointWith abstract object
paperback subClassOf printed book, paperback subClassOf concrete object, printed book disjointWith concrete object
hardcover subClassOf printed book, hardcover subClassOf concrete object, printed book disjointWith concrete object
remaindered book subClassOf printed book, remaindered book subClassOf abstract object, printed book disjointWith abstract object
service ribbon subClassOf ribbon, service ribbon subClassOf abstract object, ribbon disjointWith abstract object
Schoenstatt Shrine subClassOf chapel, Schoenstatt Shrine subClassOf abstract object, chapel disjointWith abstract object
softcover subClassOf printed book, softcover subClassOf abstract object, printed book disjointWith abstract object
printing dupe subClassOf intermediate, printing dupe subClassOf concrete object, intermediate disjointWith concrete object
pagoda for chasen subClassOf memorial, pagoda for chasen subClassOf abstract object, memorial disjointWith abstract object
inner joint subClassOf printed book, inner joint subClassOf concrete object, printed book disjointWith concrete object
thick book subClassOf printed book, thick book subClassOf concrete object, printed book disjointWith concrete object
comic book subClassOf book, comic book subClassOf concrete object, book disjointWith concrete object
Ribbon of the Order of St. Andrew subClassOf ribbon, Ribbon of the Order of St. Andrew subClassOf abstract object, ribbon disjointWith abstract object
internegative subClassOf intermediate, internegative subClassOf concrete object, intermediate disjointWith concrete object
collection volume subClassOf book, collection volume subClassOf concrete object, book disjointWith concrete object
interpositive subClassOf intermediate, interpositive subClassOf concrete object, intermediate disjointWith concrete object
prize book subClassOf printed book, prize book subClassOf abstract object, printed book disjointWith abstract object
slug subClassOf simulacrum, slug subClassOf abstract object, simulacrum disjointWith abstract object
River deities in Hinduism subClassOf river personification, River deities in Hinduism subClassOf abstract object, river personification disjointWith abstract object
manga anthology subClassOf manga, manga anthology subClassOf abstract object, manga disjointWith abstract object
one-shot manga subClassOf manga, one-shot manga subClassOf abstract object, manga disjointWith abstract object
josei manga magazine subClassOf women's magazine, josei manga magazine subClassOf concrete object, women's magazine disjointWith concrete object
24-hour comic subClassOf comic book, 24-hour comic subClassOf abstract object, comic book disjointWith abstract object
Chick tract subClassOf comic book, Chick tract subClassOf abstract object, comic book disjointWith abstract object
comics anthology subClassOf magazine, comics anthology subClassOf abstract object, magazine disjointWith abstract object
one-shot subClassOf comic book, one-shot subClassOf concrete object, comic book disjointWith concrete object
How Other People Make Love subClassOf paperback, How Other People Make Love subClassOf concrete object, paperback disjointWith concrete object
Gun/Shy subClassOf paperback, Gun/Shy subClassOf concrete object, paperback disjointWith concrete object
Irregular Heartbeats at the Park West subClassOf paperback, Irregular Heartbeats at the Park West subClassOf abstract object, paperback disjointWith abstract object
Stilettos in a rifle range subClassOf paperback, Stilettos in a rifle range subClassOf abstract object, paperback disjointWith abstract object
banreitō subClassOf Kuyō-tō, banreitō subClassOf abstract object, Kuyō-tō disjointWith abstract object
