honorary citizen of Gera subClassOf award winner, honorary citizen of Gera subClassOf award, award winner disjointWith award
duplicating master subClassOf abstract object, duplicating master subClassOf concrete object, abstract object disjointWith concrete object
saddle stitch binding subClassOf abstract object, saddle stitch binding subClassOf concrete object, abstract object disjointWith concrete object
board book binding subClassOf abstract object, board book binding subClassOf concrete object, abstract object disjointWith concrete object
stone rubbing subClassOf abstract object, stone rubbing subClassOf concrete object, abstract object disjointWith concrete object
roundabout dog subClassOf abstract object, roundabout dog subClassOf concrete object, abstract object disjointWith concrete object
daibutsu subClassOf abstract object, daibutsu subClassOf concrete object, abstract object disjointWith concrete object
reconstructed structure subClassOf abstract object, reconstructed structure subClassOf concrete object, abstract object disjointWith concrete object
Sacred Heart cave subClassOf abstract object, Sacred Heart cave subClassOf concrete object, abstract object disjointWith concrete object
copy of the Qur’an subClassOf abstract object, copy of the Qur’an subClassOf concrete object, abstract object disjointWith concrete object
Fushimi-ban subClassOf abstract object, Fushimi-ban subClassOf concrete object, abstract object disjointWith concrete object
Saga-bon subClassOf abstract object, Saga-bon subClassOf concrete object, abstract object disjointWith concrete object
itabi subClassOf abstract object, itabi subClassOf concrete object, abstract object disjointWith concrete object
bitasen subClassOf abstract object, bitasen subClassOf concrete object, abstract object disjointWith concrete object
manga magazine subClassOf abstract object, manga magazine subClassOf concrete object, abstract object disjointWith concrete object
American comic book subClassOf abstract object, American comic book subClassOf concrete object, abstract object disjointWith concrete object
Bamse subClassOf abstract object, Bamse subClassOf concrete object, abstract object disjointWith concrete object
microcopy subClassOf abstract object, microcopy subClassOf concrete object, abstract object disjointWith concrete object
Lourdes grotto subClassOf abstract object, Lourdes grotto subClassOf concrete object, abstract object disjointWith concrete object
Gilt-bronze Maitreya in Meditation subClassOf abstract object, Gilt-bronze Maitreya in Meditation subClassOf concrete object, abstract object disjointWith concrete object
fleuron subClassOf abstract object, fleuron subClassOf concrete object, abstract object disjointWith concrete object
prop gun subClassOf abstract object, prop gun subClassOf concrete object, abstract object disjointWith concrete object
Buddha sculpture in Thailand subClassOf abstract object, Buddha sculpture in Thailand subClassOf concrete object, abstract object disjointWith concrete object
Reclining Buddha subClassOf abstract object, Reclining Buddha subClassOf concrete object, abstract object disjointWith concrete object
desco da parto subClassOf abstract object, desco da parto subClassOf concrete object, abstract object disjointWith concrete object
waterleaf subClassOf abstract object, waterleaf subClassOf concrete object, abstract object disjointWith concrete object
Replicas of the White House subClassOf abstract object, Replicas of the White House subClassOf concrete object, abstract object disjointWith concrete object
ribbon subClassOf abstract object, ribbon subClassOf concrete object, abstract object disjointWith concrete object
Monopoly money subClassOf abstract object, Monopoly money subClassOf concrete object, abstract object disjointWith concrete object
paperback subClassOf abstract object, paperback subClassOf concrete object, abstract object disjointWith concrete object
hardcover subClassOf abstract object, hardcover subClassOf concrete object, abstract object disjointWith concrete object
remaindered book subClassOf abstract object, remaindered book subClassOf concrete object, abstract object disjointWith concrete object
service ribbon subClassOf abstract object, service ribbon subClassOf concrete object, abstract object disjointWith concrete object
Schoenstatt Shrine subClassOf abstract object, Schoenstatt Shrine subClassOf concrete object, abstract object disjointWith concrete object
softcover subClassOf abstract object, softcover subClassOf concrete object, abstract object disjointWith concrete object
printing dupe subClassOf abstract object, printing dupe subClassOf concrete object, abstract object disjointWith concrete object
pagoda for chasen subClassOf abstract object, pagoda for chasen subClassOf concrete object, abstract object disjointWith concrete object
inner joint subClassOf abstract object, inner joint subClassOf concrete object, abstract object disjointWith concrete object
thick book subClassOf abstract object, thick book subClassOf concrete object, abstract object disjointWith concrete object
comic book subClassOf abstract object, comic book subClassOf concrete object, abstract object disjointWith concrete object
Ribbon of the Order of St. Andrew subClassOf abstract object, Ribbon of the Order of St. Andrew subClassOf concrete object, abstract object disjointWith concrete object
internegative subClassOf abstract object, internegative subClassOf concrete object, abstract object disjointWith concrete object
collection volume subClassOf abstract object, collection volume subClassOf concrete object, abstract object disjointWith concrete object
interpositive subClassOf abstract object, interpositive subClassOf concrete object, abstract object disjointWith concrete object
prize book subClassOf abstract object, prize book subClassOf concrete object, abstract object disjointWith concrete object
slug subClassOf abstract object, slug subClassOf concrete object, abstract object disjointWith concrete object
River deities in Hinduism subClassOf abstract object, River deities in Hinduism subClassOf concrete object, abstract object disjointWith concrete object
manga anthology subClassOf abstract object, manga anthology subClassOf concrete object, abstract object disjointWith concrete object
one-shot manga subClassOf abstract object, one-shot manga subClassOf concrete object, abstract object disjointWith concrete object
josei manga magazine subClassOf abstract object, josei manga magazine subClassOf concrete object, abstract object disjointWith concrete object
24-hour comic subClassOf abstract object, 24-hour comic subClassOf concrete object, abstract object disjointWith concrete object
Chick tract subClassOf abstract object, Chick tract subClassOf concrete object, abstract object disjointWith concrete object
comics anthology subClassOf abstract object, comics anthology subClassOf concrete object, abstract object disjointWith concrete object
one-shot subClassOf abstract object, one-shot subClassOf concrete object, abstract object disjointWith concrete object
How Other People Make Love subClassOf abstract object, How Other People Make Love subClassOf concrete object, abstract object disjointWith concrete object
Gun/Shy subClassOf abstract object, Gun/Shy subClassOf concrete object, abstract object disjointWith concrete object
Irregular Heartbeats at the Park West subClassOf abstract object, Irregular Heartbeats at the Park West subClassOf concrete object, abstract object disjointWith concrete object
Stilettos in a rifle range subClassOf abstract object, Stilettos in a rifle range subClassOf concrete object, abstract object disjointWith concrete object
banreitō subClassOf abstract object, banreitō subClassOf concrete object, abstract object disjointWith concrete object
Hidden harmonies: the lives and times of the Pythagorean theorem subClassOf abstract object, Hidden harmonies: the lives and times of the Pythagorean theorem subClassOf concrete object, abstract object disjointWith concrete object
To Kill a Mockingbird, 60th Anniversary Edition subClassOf abstract object, To Kill a Mockingbird, 60th Anniversary Edition subClassOf concrete object, abstract object disjointWith concrete object
Pride and Prejudice subClassOf abstract object, Pride and Prejudice subClassOf concrete object, abstract object disjointWith concrete object
Tomb Raider comics subClassOf abstract object, Tomb Raider comics subClassOf concrete object, abstract object disjointWith concrete object
lianhuanhua subClassOf abstract object, lianhuanhua subClassOf concrete object, abstract object disjointWith concrete object
Star Trek comic subClassOf abstract object, Star Trek comic subClassOf concrete object, abstract object disjointWith concrete object
ashcan copy subClassOf abstract object, ashcan copy subClassOf concrete object, abstract object disjointWith concrete object
Franco-Belgian comics magazines subClassOf abstract object, Franco-Belgian comics magazines subClassOf concrete object, abstract object disjointWith concrete object
river god subClassOf abstract object, river god subClassOf concrete object, abstract object disjointWith concrete object
Potamoi subClassOf abstract object, Potamoi subClassOf concrete object, abstract object disjointWith concrete object
Bantry Bay gig subClassOf abstract object, Bantry Bay gig subClassOf concrete object, abstract object disjointWith concrete object
counterfeit medication subClassOf abstract object, counterfeit medication subClassOf concrete object, abstract object disjointWith concrete object
drug fraud subClassOf abstract object, drug fraud subClassOf concrete object, abstract object disjointWith concrete object
counterfeit medicines online subClassOf abstract object, counterfeit medicines online subClassOf concrete object, abstract object disjointWith concrete object
regular star polygon subClassOf concave polygon, regular star polygon subClassOf convex polygon, concave polygon disjointWith convex polygon
